,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_reg_alpha,param_reg_lambda,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,78.29970593452454,3.2563477516174317,-0.41070678094869995,-0.34746268255930024,1,0.4,"{'reg_alpha': 1, 'reg_lambda': 0.4}",38,-0.4090100882163659,-0.34770830067144953,-0.40966814729330125,-0.3481052088276567,-0.4113145866056563,-0.34637247749983174,-0.41279318938298176,-0.3478106965598908,-0.41074792706308655,-0.34731672923767215,2.0231346846256444,1.07768478490986,0.001317706565678288,0.0006006881804956538
1,85.29295539855957,2.6350781440734865,-0.41080581322547266,-0.3473421422407549,1,0.5,"{'reg_alpha': 1, 'reg_lambda': 0.5}",40,-0.4095558118714686,-0.3477818346240052,-0.40985912384906387,-0.3478962983359246,-0.41114230233319243,-0.34670956911573014,-0.41250795159231873,-0.3470056971198088,-0.41096390363985214,-0.3473173120083055,3.5419051416536647,0.5185681623863326,0.0010482575929923214,0.0004504173593585392
2,88.48504781723022,2.5877309322357176,-0.41073444498472494,-0.3475311602121821,1,0.6,"{'reg_alpha': 1, 'reg_lambda': 0.6}",39,-0.4091760826726654,-0.3485981477582435,-0.4099983191798131,-0.34797343197974256,-0.4113670314394906,-0.34624458593456886,-0.41253811395710055,-0.34731157720770256,-0.41059270604219406,-0.3475280581806532,2.6830123115552746,0.6128439734469887,0.0011527233385736125,0.0007794313863455933
3,90.00893101692199,2.2909327507019044,-0.4106697565077783,-0.34782113234274636,1,0.7,"{'reg_alpha': 1, 'reg_lambda': 0.7}",37,-0.4093233574891873,-0.3484317416306016,-0.4097020347192474,-0.34805467809537893,-0.41112363307108674,-0.3471134630991211,-0.41280764405957937,-0.34764203084168904,-0.4103921418101563,-0.34786374804694137,0.9381340524114034,0.0414368519140242,0.0012331187459235426,0.00043865168990576937
4,90.29791121482849,2.36112117767334,-0.4105826723625634,-0.347768139367092,1,0.8,"{'reg_alpha': 1, 'reg_lambda': 0.8}",36,-0.4090613995787301,-0.3477512928587385,-0.40944877823892123,-0.34813996306400286,-0.4110329021445646,-0.3471047011546754,-0.41275660731740826,-0.3478208899973055,-0.41061370736004255,-0.34802384976073775,0.5589246562985016,0.10895124710943203,0.0013061127292772257,0.0003596824606591422
5,90.96182761192321,2.3748560905456544,-0.41033252286510474,-0.35046588414245083,2,0.4,"{'reg_alpha': 2, 'reg_lambda': 0.4}",35,-0.4086002109214489,-0.35084688658731056,-0.40960825309114196,-0.351195321677082,-0.4107750422418481,-0.3499212427316831,-0.41233738986749485,-0.3499595018204781,-0.41034174857525435,-0.3504064678957001,0.8237452453922823,0.05692280348965565,0.0012442569582514604,0.0004967553910377601
6,90.79574413299561,2.287885856628418,-0.41024104915963516,-0.350746414074803,2,0.5,"{'reg_alpha': 2, 'reg_lambda': 0.5}",34,-0.4090686794965666,-0.3512290100387777,-0.40946628332560975,-0.35150600314531477,-0.41066316114514717,-0.3495996226665063,-0.41204187360572475,-0.35046488469507797,-0.4099652722983126,-0.35093254982833827,0.968306145753915,0.019953698405196094,0.0010461271595026272,0.0006691651911181967
7,91.53357901573182,2.2646151065826414,-0.41020944303418294,-0.3507360741626959,2,0.6,"{'reg_alpha': 2, 'reg_lambda': 0.6}",33,-0.40878316021358047,-0.35056244163559397,-0.4092076025879477,-0.35172737835745393,-0.4106257946663921,-0.3507971978020165,-0.4122112978575548,-0.3499790139130184,-0.4102193898652615,-0.3506143391053968,0.34238387601653747,0.013368191115447773,0.0012015689059598168,0.0005664853053899751
8,91.40924081802368,2.293933868408203,-0.4101796753176669,-0.3510145397968353,2,0.7,"{'reg_alpha': 2, 'reg_lambda': 0.7}",32,-0.40893353396172766,-0.35169951964746493,-0.40932125686529114,-0.35152202601106963,-0.4109227121201839,-0.35031185970415746,-0.41190122698032217,-0.35028858170674576,-0.4098196726802922,-0.35125071191473844,0.5037649626311698,0.03322165408388146,0.0010895132116491095,0.0006005483134425633
9,91.35127720832824,2.3212361335754395,-0.41017834085709026,-0.35116628201324857,2,0.8,"{'reg_alpha': 2, 'reg_lambda': 0.8}",31,-0.4085509831539833,-0.35103417535649944,-0.4094129993910882,-0.35165708945742563,-0.4108416410075939,-0.350564916749183,-0.41155089394515537,-0.35123460932881995,-0.41053521636949064,-0.351340619174315,0.6363055262289194,0.055085012469630636,0.0010663284411445268,0.00036195203124823275
10,92.17296814918518,2.2730981349945067,-0.4099757546717983,-0.35283615216014674,3,0.4,"{'reg_alpha': 3, 'reg_lambda': 0.4}",24,-0.40834105463915893,-0.35349650613831735,-0.40933793543217584,-0.35318484884719953,-0.41056893872555966,-0.3521768064525738,-0.4116222003719188,-0.35243610529398334,-0.4100086722862082,-0.3528864940686595,0.6253434551425785,0.03276588032136518,0.001108404222548773,0.00048061737817562045
11,92.95146212577819,2.279637670516968,-0.410141568932509,-0.3527927155386231,3,0.5,"{'reg_alpha': 3, 'reg_lambda': 0.5}",30,-0.40858079632974187,-0.35341733864485986,-0.4093146338679082,-0.3535773423482253,-0.4108107403770346,-0.35167946437890957,-0.41194889867469314,-0.3524677756933091,-0.41005280493331564,-0.352821656627812,0.37886569369203005,0.01610489468969394,0.001169781836169365,0.0006857907683121758
12,92.73902497291564,2.272459840774536,-0.41003112526912805,-0.3530084490845467,3,0.6,"{'reg_alpha': 3, 'reg_lambda': 0.6}",29,-0.4087959167181345,-0.3535108026966616,-0.4089788918105583,-0.3532085090081901,-0.41032639131649973,-0.3524397698170623,-0.41176345488182736,-0.3528296047548748,-0.41029099989914564,-0.3530535591459447,0.7062127356022607,0.023287724597460417,0.0010759760304098053,0.00036049949953218235
13,92.27239527702332,2.300342321395874,-0.40997670456261937,-0.35328534373025144,3,0.7,"{'reg_alpha': 3, 'reg_lambda': 0.7}",25,-0.40891255314411856,-0.3539057315371416,-0.4092061079133909,-0.3533612182084906,-0.41029437292912724,-0.35241076580479097,-0.41176886821822767,-0.3532032200053177,-0.40970164329192843,-0.35354578309551643,0.8556890007681438,0.02694750515096974,0.0010114006078553173,0.0004960035250409868
14,92.54715123176575,2.3186186790466308,-0.41000855515913226,-0.3533105492998446,3,0.8,"{'reg_alpha': 3, 'reg_lambda': 0.8}",28,-0.4087425790273164,-0.3535072740502771,-0.40895798646020165,-0.3538193317426133,-0.4105819232945392,-0.3527686854833595,-0.4117395261789248,-0.3529825530998466,-0.41002078947501386,-0.35347490212312654,0.31455919545173466,0.04412972982609888,0.001098321916198959,0.00038099080168741914
