Traceback (most recent call last):
  File "xgboost_new_features.py", line 104, in <module>
    build_data(seed=100)
  File "xgboost_new_features.py", line 29, in build_data
    dtrain = xgb.DMatrix(FLAGS.tmp_data_path+'train'+str(seed)+'/xgboost.new_features.dtrain.joblib_dat')
  File "/home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/core.py", line 328, in __init__
    ctypes.byref(self.handle)))
  File "/home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/core.py", line 129, in _check_call
    raise XGBoostError(_LIB.XGBGetLastError())
xgboost.core.XGBoostError: b'[13:35:41] /home/zhijiehuang/github/xgboost/dmlc-core/src/io/input_split_base.cc:173: Check failed: files_.size() != 0U (0 vs. 0) Cannot find any files that matches the URI pattern /data/train100/xgboost.new_features.dtrain.joblib_dat\n\nStack trace returned 10 entries:\n[bt] (0) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::StackTrace[abi:cxx11]()+0x1bc) [0x7fd8a140c92c]\n[bt] (1) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::LogMessageFatal::~LogMessageFatal()+0x28) [0x7fd8a140dc88]\n[bt] (2) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::io::InputSplitBase::InitInputFileInfo(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool)+0x650) [0x7fd8a1609400]\n[bt] (3) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::io::InputSplitBase::Init(dmlc::io::FileSystem*, char const*, unsigned long, bool)+0x74) [0x7fd8a1609584]\n[bt] (4) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::InputSplit::Create(char const*, char const*, unsigned int, unsigned int, char const*, bool, int, unsigned long, bool)+0xbf0) [0x7fd8a15f0a90]\n[bt] (5) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::InputSplit::Create(char const*, unsigned int, unsigned int, char const*)+0x1e) [0x7fd8a15f0f4e]\n[bt] (6) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::Parser<unsigned int, float>* dmlc::data::CreateLibSVMParser<unsigned int, float>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, unsigned int, unsigned int)+0x19) [0x7fd8a15d6c69]\n[bt] (7) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::Parser<unsigned int, float>* dmlc::data::CreateParser_<unsigned int, float>(char const*, unsigned int, unsigned int, char const*)+0x19e) [0x7fd8a15cd79e]\n[bt] (8) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(xgboost::DMatrix::Load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0x865) [0x7fd8a1407325]\n[bt] (9) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(XGDMatrixCreateFromFile+0x1d0) [0x7fd8a14b4d80]\n\n'
[13:37:54] 6385085x6 matrix with 38310510 entries loaded from /data/train25/xgboost.new_features.dtrain.joblib_dat
[13:37:54] 4256724x6 matrix with 25540344 entries loaded from /data/train25/xgboost.new_features.dvalid.joblib_dat
[13:37:58] Allocated 50MB on [0] GeForce GTX 1070 Ti, 7558MB remaining.
[13:37:58] Allocated 170MB on [0] GeForce GTX 1070 Ti, 7436MB remaining.
[13:37:58] Allocated 2MB on [0] GeForce GTX 1070 Ti, 7432MB remaining.
[13:37:58] Allocated 227MB on [0] GeForce GTX 1070 Ti, 7090MB remaining.
[0]	train-logloss:0.329711	valid-logloss:0.330364
[1]	train-logloss:0.325705	valid-logloss:0.326372
[2]	train-logloss:0.322314	valid-logloss:0.322996
[3]	train-logloss:0.319522	valid-logloss:0.320217
[4]	train-logloss:0.317272	valid-logloss:0.317979
[5]	train-logloss:0.315176	valid-logloss:0.315892
[6]	train-logloss:0.313131	valid-logloss:0.313858
[7]	train-logloss:0.311311	valid-logloss:0.312042
[8]	train-logloss:0.310078	valid-logloss:0.310824
[9]	train-logloss:0.308654	valid-logloss:0.309405
[10]	train-logloss:0.307387	valid-logloss:0.308144
[11]	train-logloss:0.306259	valid-logloss:0.307021
[12]	train-logloss:0.305606	valid-logloss:0.306376
[13]	train-logloss:0.305053	valid-logloss:0.305832
[14]	train-logloss:0.30427	valid-logloss:0.305052
[15]	train-logloss:0.303591	valid-logloss:0.304383
[16]	train-logloss:0.302973	valid-logloss:0.303768
[17]	train-logloss:0.302394	valid-logloss:0.303192
[18]	train-logloss:0.301887	valid-logloss:0.302686
[19]	train-logloss:0.301494	valid-logloss:0.302302
[20]	train-logloss:0.301157	valid-logloss:0.301969
[21]	train-logloss:0.300805	valid-logloss:0.301617
[22]	train-logloss:0.300542	valid-logloss:0.301359
[23]	train-logloss:0.300259	valid-logloss:0.30108
[24]	train-logloss:0.299985	valid-logloss:0.300806
[25]	train-logloss:0.299779	valid-logloss:0.300604
[26]	train-logloss:0.299593	valid-logloss:0.300425
[27]	train-logloss:0.299332	valid-logloss:0.300164
[28]	train-logloss:0.299098	valid-logloss:0.299938
[29]	train-logloss:0.298944	valid-logloss:0.299788
[30]	train-logloss:0.298777	valid-logloss:0.299625
[31]	train-logloss:0.298596	valid-logloss:0.299446
[32]	train-logloss:0.298425	valid-logloss:0.29928
[33]	train-logloss:0.298298	valid-logloss:0.299156
[34]	train-logloss:0.298189	valid-logloss:0.299052
[35]	train-logloss:0.298057	valid-logloss:0.298926
[36]	train-logloss:0.297916	valid-logloss:0.298789
[37]	train-logloss:0.297768	valid-logloss:0.298645
[38]	train-logloss:0.297688	valid-logloss:0.298572
[39]	train-logloss:0.297561	valid-logloss:0.298449
[40]	train-logloss:0.297504	valid-logloss:0.298399
[41]	train-logloss:0.297416	valid-logloss:0.298317
[42]	train-logloss:0.297301	valid-logloss:0.298207
[43]	train-logloss:0.297217	valid-logloss:0.298125
[44]	train-logloss:0.297157	valid-logloss:0.29807
[45]	train-logloss:0.29711	valid-logloss:0.298027
[46]	train-logloss:0.296989	valid-logloss:0.297908
[47]	train-logloss:0.296905	valid-logloss:0.29783
[48]	train-logloss:0.296858	valid-logloss:0.297789
[49]	train-logloss:0.296792	valid-logloss:0.297727
[50]	train-logloss:0.296706	valid-logloss:0.297642
[51]	train-logloss:0.296652	valid-logloss:0.297594
[52]	train-logloss:0.296603	valid-logloss:0.297548
[53]	train-logloss:0.296512	valid-logloss:0.297459
[54]	train-logloss:0.296447	valid-logloss:0.297396
[55]	train-logloss:0.29639	valid-logloss:0.297344
[56]	train-logloss:0.296319	valid-logloss:0.297276
[57]	train-logloss:0.296258	valid-logloss:0.297219
[58]	train-logloss:0.296213	valid-logloss:0.297178
[59]	train-logloss:0.296162	valid-logloss:0.297128
[60]	train-logloss:0.296089	valid-logloss:0.297061
[61]	train-logloss:0.296061	valid-logloss:0.297037
[62]	train-logloss:0.295988	valid-logloss:0.296962
[63]	train-logloss:0.295944	valid-logloss:0.296922
[64]	train-logloss:0.295874	valid-logloss:0.296857
[65]	train-logloss:0.295824	valid-logloss:0.296809
[66]	train-logloss:0.295761	valid-logloss:0.296752
[67]	train-logloss:0.295703	valid-logloss:0.296694
[68]	train-logloss:0.295664	valid-logloss:0.296658
[69]	train-logloss:0.295608	valid-logloss:0.296605
[70]	train-logloss:0.295538	valid-logloss:0.296535
[71]	train-logloss:0.295487	valid-logloss:0.296489
[72]	train-logloss:0.295447	valid-logloss:0.296452
[73]	train-logloss:0.29541	valid-logloss:0.296418
[74]	train-logloss:0.295379	valid-logloss:0.296394
[75]	train-logloss:0.295351	valid-logloss:0.296368
[76]	train-logloss:0.295326	valid-logloss:0.296347
[77]	train-logloss:0.295286	valid-logloss:0.296311
[78]	train-logloss:0.295265	valid-logloss:0.296292
[79]	train-logloss:0.295233	valid-logloss:0.296264
[80]	train-logloss:0.295142	valid-logloss:0.296177
[81]	train-logloss:0.295108	valid-logloss:0.296147
[82]	train-logloss:0.295087	valid-logloss:0.296131
[83]	train-logloss:0.295039	valid-logloss:0.296083
[84]	train-logloss:0.295021	valid-logloss:0.29607
[85]	train-logloss:0.294982	valid-logloss:0.296033
[86]	train-logloss:0.294938	valid-logloss:0.295993
[87]	train-logloss:0.294912	valid-logloss:0.295972
